Sl No.,Date : When I was supposed to go to bed,Day : When I was supposed to go to bed,Time: When I was supposed to go to bed,Date : When I actually went to bed,Day: When I actually went to bed,Time: When I actually went to bed,Date: When I woke up,Day: When I woke up,Time: When I was supposed to wake up,Time: When I actually woke up,Duration of sleep ,Feeling with in 15 minutes of waking up,Perception about college work day ,Perception about day in general
1,18-01-2018,Thursday,23:45,19-01-2018,Friday,01:40,19-01-2018,Friday,-,07:20,5 hours 40 minutes,-,Ok,-
2,19-01-2018,Friday,23:45,20-01-2018,Saturday,00:20,20-01-2018,Saturday,-,07:30,7 hours 10 minutes,-,Ok,-
3,20-01-2018,Saturday,23:45,21-01-2018,Sunday,00:30,21-01-2018,Sunday,-,09:30,9 hours,-,Good,-
4,21-01-2018,Sunday,23:45,22-01-2018,Monday,01:00,22-01-2018,Monday,06:00,07:30,6 hours 30 minutes,-,Bad,-
5,22-01-2018,Monday,23:45,23-01-2018,Tuesday,00:05,23-01-2018,Tuesday,06:00,8:00          ,7 hours 55 minutes,-,Good,4
6,23-01-2018,Tuesday,23:45,24-01-2018,Wednesday,00:05,24-01-2018,Wednesday,06:00,7:30     ,7 hours 25 minutes,-,Good,5
7,24-01-2018,Wednesday,23:45,25-01-2018,Thursday,00:02,25-01-2018,Thursday,06:00,08:45,8 hours 43 minutes,-,Bad,3
8,25-01-2018,Thursday,23:40,25-01-2018,Friday,00:10,26-01-2018,Friday,07:10,09:45,9 hours 35 minutes,-,Bad,3
9,26-01-2018,Friday,23:35,26-01-2018,Friday,23:50,27-01-2018,Saturday,06:45,07:20,7 hours 30 minutes,-,Ok,5
10,27-01-2018,Saturday,23:35,27-01-2018,Saturday,23:40,28-01-2018,Sunday,06:45,09:45,10 hours 5 minutes,-,Bad,3
11,28-01-2018,Sunday,23:35,28-01-2018,Sunday,23:50,29-01-2018,Monday,06:45,06:50,7 hours,-,Ok,3
12,29-01-2018,Monday,23:35,29-01-2018,Monday,23:50,30-01-2018,Tuesday,06:45,07:50,8 hours,-,Ok,3
13,30-01-2018,Tuesday,23:35,30-01-2018,Tuesday,23:50,31-01-2018,Wednesday,06:45,08:00,8 hours 10 minutes,-,Ok,3
14,31-01-2018,Wednesday,23:35,31-01-2018,Wednesday,23:40,01-02-2018,Thursday,06:45,07:30,7 hours 50 minutes,-,Bad,4
15,01-02-2018,Thursday,23:35,01-02-2018,Thursday,23:30,01-02-2018,Friday,06:45,07:20,7 hours 50 minutes,-,Good,3
16,02-02-2018,Friday,23:30,02-02-2018,Saturday,00:10,03-02-2018,Saturday,09:00,09:30,9 hours 20 minutes,-,Good ,5
17,03-02-2018,Saturday,23:30,03-02-2018,Saturday,23:40,04-02-2018,Sunday,07:00,10:00,9 hours 20 minutes,-,Good,5
18,04-02-2018,Sunday,23:30,04-02-2018,Sunday,23:40,05-02-2018,Monday,06:15,7:10     ,7 hours 30 minutes,-,Good,4
19,05-02-2018,Monday,23:30,05-02-2018,Monday,23:20,06-02-2018,Tuesday,06:15,7:20          ,8 hours,-,Ok,3
20,06-02-2018,Tuesday,23:30,06-02-2018,Tuesday,23:40,07-02-2018,Wednesday,07:00,09:20,8 hours 40 minutes,-,Bad,3
21,07-02-2018,Wednesday,23:30,07-02-2018,Wednesday,23:10,08-02-2018,Thursday,07:00,07:20,8 hours 10 minutes,-,Ok,3
22,08-02-2018,Thursday,23:30,08-02-2018,Thursday,23:10,09-02-2018,Friday,07:00,07:15,8 hours 5 minutes,-,Ok,4
23,09-02-2018,Friday,23:30,09-02-2018,Friday,23:10,10-02-2018,Saturday,07:00,07:20,8 hours 10 minutes,-,Good,4
24,10-02-2018,Saturday,23:30,10-02-2018,Saturday,23:50,11-02-2018,Sunday,07:00,08:00,8 hours 10 minutes,-,Good,2
25,11-02-2018,Sunday,23:20,11-02-2018,Sunday,23:20,12-02-2018,Monday,06:50,08:00,8 hours 40 minutes,-,Ok,3
26,12-02-2018,Monday,23:20,12-02-2018,Monday,23:40,13-02-2018,Tuesday,06:50,08:30,8 hours 50 minutes,-,Bad,2
27,13-02-2018,Tuesday,23:20,13-02-2018,Tuesday,00:00,14-02-2018,Wednesday,06:50,09:00,9 hours,-,Bad,2
28,14-02-2018,Wednesday,23:20,14-02-2018,Wednesday,23:30,15-02-2018,Thursday,06:50,07:10,7 hours 40 minutes,-,Ok,3
29,15-02-2018,Thursday,23:20,15-02-2018,Thursday,23:25,16-02-2018,Friday,06:50,07:20,7 hours 55 minutes,-,Ok,3
30,16-02-2018,Friday,23:20,16-02-2018,Friday,23:30,17-02-2018,Saturday,06:50,07:20,7 hours 50 minutes,-,Good,4
31,17-02-2018,Saturday,23:20,17-02-2018,Saturday,23:50,18-02-2018,Sunday,06:50,09:30,9 hours 40 minutes,-,Good,4
32,18-02-2018,Sunday,23:10,18-02-2018,Sunday,23:10,19-02-2018,Monday,06:40,07:05,7 hours 55 minutes,-,Good,4
33,19-02-2018,Monday,23:10,19-02-2018,Monday,23:20,20-02-2018,Tuesday,06:40,07:00,7 hours 45 minutes,-,Good ,4
34,20-02-2018,Tuesday,23:10,20-02-2018,Tuesday,23:20,21-02-2018,Wednesday,06:40,06:55,7 hours 45 minutes,1,Ok,4
35,21-02-2018,Wednesday,23:10,21-02-2018,Wednesday,23:25,22-02-2018,Thursday,06:40,07:03,7 hours 38 minutes,1,Ok,3
36,22-02-2018,Thursday,23:10,22-02-2018,Thursday,23:15,23-02-2018,Friday,06:40,07:00,7 hours 45 minutes,2,2,3
37,23-02-2018,Friday,23:10,23-02-2018,Friday,23:30,24-02-2018,Saturday,06:40,07:10,7 hours 40 minutes,1,3,3
38,24-02-2018,Saturday,23:10,24-02-2018,Saturday,23:20,25-02-2018,Sunday,06:40,09:00,9 hours 40 minutes,1,4,4
39,25-02-2018,Sunday,23:00,25-02-2018,Sunday,23:40,26-02-2018,Monday,06:30,06:50,7 hours 10 minutes,2,3,4
40,26-02-2018,Monday,23:00,26-02-2018,Monday,23:20,27-02-2018,Tuesday,06:30,07:05,7 hours 45 minutes,1,3,3
41,27-02-2018,Tuesday,23:00,27-02-2018,Tuesday,23:20,28-02-2018,Wednesday,06:30,06:50,7 hours 30 minutes,1,3,3
42,28-02-2018,Wednesday,23:00,28-02-2018,Wednesday,23:10,01-03-2018,Thursday,06:30,06:35,7 hours 25 minutes,2,3,3
43,01-03-2018,Thursday,23:00,01-03-2018,Thursday,23:15,02-03-2018,Friday,06:30,06:32,7 hours 22 minutes,2,3,3
44,02-03-2018,Friday,23:00,02-03-2018,Friday,23:20,03-03-2018,Saturday,06:30,08:30,9 hours 10 minutes,1,3,4
45,03-03-2018,Saturday,23:00,03-03-2018,Saturday,23:30,04-03-2018,Sunday,06:30,08:00,8 hours 30 minutes,1,3,4
46,04-03-2018,Sunday,23:00,04-03-2018,Sunday,23:10,05-03-2018,Monday,06:30,07:30,8 hours 20 minutes,1,,4
47,05-03-2018,Monday,23:00,,,,06-03-2018,Tuesday,06:30,,,,,
48,06-03-2018,Tuesday,23:00,,,,07-03-2018,Wednesday,06:30,,,,,
49,07-03-2018,Wednesday,23:00,,,,08-03-2018,Thursday,06:30,,,,,
,,,,,,,,,,,,,,
50,08-03-2018,Thursday,23:00,,,,09-03-2018,Friday,06:30,,,,,
,,,,,,,,,,,,,,
51,09-03-2018,Friday,23:00,,,,10-03-2018,Saturday,06:30,,,,,
,,,,,,,,,,,,,,
52,10-03-2018,Saturday,23:00,,,,11-03-2018,Sunday,06:30,,,,,
,,,,,,,,,,,,,,
53,11-03-2018,Sunday,22:50,,,,12-03-2018,Monday,06:20,,,,,
,,,,,,,,,,,,,,
54,12-03-2018,Monday,22:50,,,,13-03-2018,Tuesday,,,,,,
